"employee_id","first_name","last_name","store_id","phone","email","salary","start_date","employment_status","job_title"
1,"Phillip","Molina",1,"001-795-954-8054x8536","phillip.molina@abcfoodmart.com","36678.81","2017-11-20","Part-time","Stocker"
2,"Dana","Jackson",1,"001-899-399-4324","dana.jackson@abcfoodmart.com","35596.32","2019-06-20","Part-time","Cleaner"
3,"Sean","Peters",1,"(928)309-9837x0335","sean.peters@abcfoodmart.com","37683.33","2024-05-19","Part-time","Cashier"
4,"Henry","Pennington",1,"001-638-578-8481x774","henry.pennington@abcfoodmart.com","36795.52","2018-08-01","On Leave","Security Guard"
5,"Lindsey","Kline",1,"(712)394-3713x0998","lindsey.kline@abcfoodmart.com","37229.61","2016-11-21","Full-time","Stocker"
6,"Michael","Waters",1,"301-632-4523","michael.waters@abcfoodmart.com","36765.41","2018-09-20","On Leave","Security Guard"
7,"Jared","Harris",1,"380.862.5208x216","jared.harris@abcfoodmart.com","36827.84","2020-10-24","Part-time","Cashier"
8,"Jane","Parks",1,"(415)696-9755","jane.parks@abcfoodmart.com","35706.98","2021-08-22","Part-time","Sales Associate"
9,"Jennifer","Watson",1,"+1-446-452-3843x99078","jennifer.watson@abcfoodmart.com","36241.83","2022-03-28","Full-time","Store Manager"
10,"Brittney","Holder",1,"3977877783","brittney.holder@abcfoodmart.com","36336.73","2017-09-14","On Leave","Sales Associate"
11,"Steven","Paul",2,"(350)440-9817x9875","steven.paul@abcfoodmart.com","35039.73","2022-12-31","Full-time","Sales Associate"
12,"James","Gill",2,"663.915.4232x586","james.gill@abcfoodmart.com","36039.33","2024-06-05","Part-time","Stocker"
13,"Daniel","Hess",2,"001-717-365-0450x8571","daniel.hess@abcfoodmart.com","35239.65","2022-04-20","Full-time","Cleaner"
14,"Johnny","Tate",2,"896-506-4358x790","johnny.tate@abcfoodmart.com","35464.16","2015-12-19","On Leave","Cashier"
15,"Kathleen","Griffin",2,"(723)926-2324","kathleen.griffin@abcfoodmart.com","37771.63","2018-04-08","On Leave","Security Guard"
16,"Ryan","Rodriguez",2,"(704)570-9035x6859","ryan.rodriguez@abcfoodmart.com","36883.74","2022-11-13","Part-time","Store Manager"
17,"Cindy","Murphy",2,"815.257.4987x5005","cindy.murphy@abcfoodmart.com","37195.90","2019-10-02","On Leave","Stocker"
18,"Linda","Avila",2,"+1-295-740-6300x35028","linda.avila@abcfoodmart.com","35821.90","2018-12-25","On Leave","Cashier"
19,"Shawn","Hernandez",2,"6772858340","shawn.hernandez@abcfoodmart.com","35335.79","2025-01-10","Part-time","Sales Associate"
20,"Paul","Mathis",2,"+1-590-477-9795","paul.mathis@abcfoodmart.com","37100.83","2019-10-11","Part-time","Security Guard"
21,"Jeffrey","Rivera",3,"878-498-5371x49031","jeffrey.rivera@abcfoodmart.com","35726.17","2016-01-13","Full-time","Security Guard"
22,"Michelle","Riley",3,"4995409299","michelle.riley@abcfoodmart.com","35680.81","2017-11-24","Full-time","Sales Associate"
23,"Michele","Martin",3,"+1-548-541-0929x612","michele.martin@abcfoodmart.com","37501.42","2016-03-23","On Leave","Cleaner"
24,"Kristy","Burch",3,"250-760-6830x15801","kristy.burch@abcfoodmart.com","36771.95","2020-06-03","Part-time","Cashier"
25,"Carolyn","Smith",3,"600-924-0703x97310","carolyn.smith@abcfoodmart.com","35195.15","2016-09-08","On Leave","Store Manager"
26,"James","Conrad",3,"001-850-724-8378x5648","james.conrad@abcfoodmart.com","35226.55","2020-12-13","Full-time","Security Guard"
27,"Angela","Knight",3,"+1-329-479-8584","angela.knight@abcfoodmart.com","37332.40","2023-08-08","Full-time","Sales Associate"
28,"Nancy","Miller",3,"001-282-948-4461x694","nancy.miller@abcfoodmart.com","35175.43","2022-01-17","On Leave","Cashier"
29,"Susan","Lee",3,"+1-947-616-5293","susan.lee@abcfoodmart.com","37980.44","2018-11-22","On Leave","Stocker"
30,"Danielle","Cook",3,"718.665.6052","danielle.cook@abcfoodmart.com","35481.50","2025-01-22","Part-time","Stocker"
31,"Scott","Villa",4,"+1-670-914-8773x1445","scott.villa@abcfoodmart.com","36336.86","2018-10-25","Full-time","Security Guard"
32,"Victoria","Taylor",4,"+1-548-538-0501x732","victoria.taylor@abcfoodmart.com","36236.96","2018-01-07","Part-time","Sales Associate"
33,"Jonathan","Kennedy",4,"(863)269-4306x5801","jonathan.kennedy@abcfoodmart.com","35526.23","2023-11-20","Full-time","Store Manager"
34,"Miguel","Sawyer",4,"(837)943-9626","miguel.sawyer@abcfoodmart.com","36515.54","2021-06-16","Full-time","Stocker"
35,"Melanie","Rivera",4,"3624623673","melanie.rivera@abcfoodmart.com","35216.51","2018-06-27","Part-time","Sales Associate"
36,"Monica","Shaw",4,"463-336-6524x161","monica.shaw@abcfoodmart.com","37309.39","2017-07-08","Part-time","Cleaner"
37,"James","Howard",4,"657-392-9531","james.howard@abcfoodmart.com","36803.22","2021-09-09","On Leave","Security Guard"
38,"Whitney","Williams",4,"+1-567-255-1616x350","whitney.williams@abcfoodmart.com","37146.48","2018-10-31","Full-time","Cashier"
39,"Krystal","Wong",4,"7108491887","krystal.wong@abcfoodmart.com","35556.01","2025-04-08","Part-time","Stocker"
40,"Nicole","Patterson",4,"+1-995-585-3084","nicole.patterson@abcfoodmart.com","37597.69","2017-08-03","Part-time","Cashier"
41,"Roger","Murphy",5,"229.251.7855","roger.murphy@abcfoodmart.com","37141.04","2022-02-17","Part-time","Store Manager"
42,"Richard","Hart",5,"651-909-2952","richard.hart@abcfoodmart.com","35632.12","2018-08-13","Part-time","Security Guard"
43,"Kelly","Donaldson",5,"628.705.6071","kelly.donaldson@abcfoodmart.com","37153.51","2024-03-08","Part-time","Stocker"
44,"Joshua","Ashley",5,"001-996-248-1672x98991","joshua.ashley@abcfoodmart.com","37786.49","2018-05-17","Full-time","Sales Associate"
45,"Lindsay","Joseph",5,"213-696-6715x26499","lindsay.joseph@abcfoodmart.com","35707.53","2022-10-19","Part-time","Stocker"
46,"Paul","Dougherty",5,"748-580-0556","paul.dougherty@abcfoodmart.com","37483.92","2016-06-14","On Leave","Cashier"
47,"Kimberly","Marquez",5,"(313)206-9508x762","kimberly.marquez@abcfoodmart.com","36776.14","2022-10-17","Full-time","Cashier"
48,"Brent","Anderson",5,"001-440-378-7447x067","brent.anderson@abcfoodmart.com","36460.56","2020-09-03","On Leave","Sales Associate"
49,"Melissa","Cook",5,"001-963-435-7150x1760","melissa.cook@abcfoodmart.com","35495.47","2018-12-07","On Leave","Cleaner"
50,"Alejandro","Hughes",5,"8039654973","alejandro.hughes@abcfoodmart.com","37438.67","2018-03-23","On Leave","Security Guard"
